No PKK,Nama Kapal,ETA,ETD,Nama Perusahaan,Bendera,Call Sign,IMO,GT,DWT,Draft Depan,Belakang,Max,Panjang,Lebar,Jenis Trayek,Nomor Trayek,Sebelum Asal,Singgah,Asal,Tujuan,No. SSM,Single Billing,Tipe,Status,Layanan,Waktu Permohonan,Waktu Persetujuan,Proses,Verifikator,Nomor Produk,Lokasi Sandar,Status Integrasi,Nomor SPK,Waktu SPK
PKK.DN.IDGRE.2510.000136,ASIKE GLOBAL,2025-10-05 12:00:00,2025-10-20 23:00:00,PT. PERTIWI SEGARA ABADI,ID,POOT,9108582,5284,6174,7.2,6.8,7,98.66,18,TRAMPER,AL.103/2000/50745/64340/25,BADAS,GRESIK,BADAS,PANJANG,10201959EA06C,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-05 16:01:02,2025-10-05 16:36:25,0 JAM 35 MENIT 23 DETIK,OP,PKK.DN.IDGRE.2510.000136,AREA REDE DALAM,Data Integrasi,,
PKK.DN.IDGRE.2510.000136,ASIKE GLOBAL,2025-10-05 12:00:00,2025-10-20 23:00:00,PT. PERTIWI SEGARA ABADI,ID,POOT,9108582,5284,6174,7.2,6.8,7,98.66,18,TRAMPER,AL.103/2000/50745/64340/25,BADAS,GRESIK,BADAS,PANJANG,10201959EA06C,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-05 19:35:36,2025-10-05 19:35:36,0 JAM 0 MENIT 0 DETIK,PT. PELABUHAN INDONESIA (Persero) Cab. Gresik,IDGRE-PLD-SPK.2510.011274,AREA REDE DALAM,Data Integrasi,IDGRE-PLD-SPK.2510.011274,2025-10-05 19:35:36
PKK.LN.IDGRE.2510.000371,MV.SUMAQ QUEEN,2025-10-16 02:30:00,2025-10-20 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3EGP3,9791913,30598,51052,11.09,11.09,12.331,182.98,32.26,PKKA,AL.203/2000/33453/21512/25,CAPE FLATTERY,GRESIK,ZHENJIANG PT,ONSLOW,10201959E760D,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-13 08:13:02,2025-10-13 08:15:11,0 JAM 2 MENIT 9 DETIK,OP,PKK.LN.IDGRE.2510.000371,DERMAGA PT. PETROKIMIA/PUPUK INDONESIA,Data Integrasi,,
PKK.LN.IDGRE.2510.000371,MV.SUMAQ QUEEN,2025-10-16 02:30:00,2025-10-20 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3EGP3,9791913,30598,51052,11.09,11.09,12.331,182.98,32.26,PKKA,AL.203/2000/33453/21512/25,CAPE FLATTERY,GRESIK,ZHENJIANG PT,ONSLOW,10201959E760D,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-15 15:30:06,2025-10-15 15:30:06,0 JAM 0 MENIT 0 DETIK,PT. PELABUHAN INDONESIA (Persero) Cab. Gresik,IDGRE-PLD-SPK.2510.011711,DERMAGA PT. PETROKIMIA/PUPUK INDONESIA,Data Integrasi,IDGRE-PLD-SPK.2510.011711,2025-10-15 15:30:06
PKK.LN.IDGRE.2510.000503,LPG/C. GAS LOTUS,2025-10-19 09:00:00,2025-10-20 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3FIA6,9514303,3496,3983,4.7,5.8,6,97.23,16.5,PKKA,AL.203/2000/33832/21723/25,MAB TAPUD,GRESIK,SINGAPORE,CAOJING,10201959E75F5,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-16 15:55:16,2025-10-16 15:58:16,0 JAM 3 MENIT 0 DETIK,OP,PKK.LN.IDGRE.2510.000503,DERMAGA PT. SIAM MASPION TERMINAL,Data Integrasi,,
PKK.LN.IDGRE.2510.000503,LPG/C. GAS LOTUS,2025-10-19 09:00:00,2025-10-20 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3FIA6,9514303,3496,3983,4.7,5.8,6,97.23,16.5,PKKA,AL.203/2000/33832/21723/25,MAB TAPUD,GRESIK,SINGAPORE,CAOJING,10201959E75F5,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-17 16:50:21,2025-10-17 16:50:21,0 JAM 0 MENIT 0 DETIK,Pelabuhan Indonesia Maspion,IDGRE-SPKPIM-2025-02322,DERMAGA PT. SIAM MASPION TERMINAL,Data Integrasi,IDGRE-SPKPIM-2025-02322,2025-10-17 16:50:21
PKK.LN.IDGRE.2510.000448,MV. DA HONG 16,2025-10-18 07:00:00,2025-10-21 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3EES7,9296157,27913,50351,11.82,11.9,11.925,189.8,32.26,PKKA,AL.203/2000/34274/21988/25,JEDDAH,GRESIK,SOKHNA PORT,"TANJUNG EMAS, SEMARANG",10201959E75FB,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-14 18:30:48,2025-10-14 18:36:35,0 JAM 5 MENIT 47 DETIK,OP,PKK.LN.IDGRE.2510.000448,DERMAGA PT. BERLIAN MANYAR SEJAHTERA,Data Integrasi,,
PKK.LN.IDGRE.2510.000448,MV. DA HONG 16,2025-10-18 07:00:00,2025-10-21 05:00:00,PT. SERASI SHIPPING INDONESIA,PA,3EES7,9296157,27913,50351,11.82,11.9,11.925,189.8,32.26,PKKA,AL.203/2000/34274/21988/25,JEDDAH,GRESIK,SOKHNA PORT,"TANJUNG EMAS, SEMARANG",10201959E75FB,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-17 13:47:42,2025-10-17 13:47:42,0 JAM 0 MENIT 0 DETIK,PT. PELABUHAN INDONESIA (Persero) Cab. Gresik,IDGRE-PLD-SPK.2510.011804,DERMAGA PT. BERLIAN MANYAR SEJAHTERA,Data Integrasi,IDGRE-PLD-SPK.2510.011804,2025-10-17 13:47:42
PKK.LN.IDGRE.2510.000520,MT SAKURA THERESA,2025-10-18 23:00:00,2025-10-20 06:00:00,PT SEROJA JAYA AGENSI,MT,9HA6399,1026776,7908,13140,8,8,11,119,20.8,PKKA,AL.203/2000/33956/21781/25,HAKATA,GRESIK,HAKATA,SINGAPORE,10201959E7649,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-17 08:34:06,2025-10-17 08:38:23,0 JAM 4 MENIT 17 DETIK,OP,PKK.LN.IDGRE.2510.000520,DERMAGA PT. WILMAR NABATI,Data Integrasi,,
PKK.LN.IDGRE.2510.000520,MT SAKURA THERESA,2025-10-18 23:00:00,2025-10-20 06:00:00,PT SEROJA JAYA AGENSI,MT,9HA6399,1026776,7908,13140,8,8,11,119,20.8,PKKA,AL.203/2000/33956/21781/25,HAKATA,GRESIK,HAKATA,SINGAPORE,10201959E7649,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-18 08:33:09,2025-10-18 08:33:09,0 JAM 0 MENIT 0 DETIK,PT. PELABUHAN INDONESIA (Persero) Cab. Gresik,IDGRE-PLD-SPK.2510.011794,DERMAGA PT. WILMAR NABATI,Data Integrasi,IDGRE-PLD-SPK.2510.011794,2025-10-18 08:33:09
PKK.LN.IDGRE.2510.000538,MT. GOLDEN PRELUDE,2025-10-20 03:00:00,2025-10-21 06:00:00,PT SEROJA JAYA AGENSI,LR,5LAI8,9881079,7251,12435,3.6,5.5,8.7,124,20,PKKA,AL.203/2000/33377/21459/25,ULSAN,GRESIK,DUMAI,ULSAN,10201959E9DF5,Tidak,Kedatangan,DI SETUJUI; DI SETUJUI; DI SETUJUI; DI SETUJUI,PKK,2025-10-18 11:11:03,2025-10-18 11:12:00,57.00 DETIK,OP,PKK.LN.IDGRE.2510.000538,DERMAGA PT. WILMAR NABATI,Data Integrasi,,
PKK.LN.IDGRE.2510.000538,MT. GOLDEN PRELUDE,2025-10-20 03:00:00,2025-10-21 06:00:00,PT SEROJA JAYA AGENSI,LR,5LAI8,9881079,7251,12435,3.6,5.5,8.7,124,20,PKKA,AL.203/2000/33377/21459/25,ULSAN,GRESIK,DUMAI,ULSAN,10201959E9DF5,Tidak,Keberangkatan,SUDAH SPOG / SPB; DI SETUJUI; SUDAH SPOG / SPB; DI SETUJUI,SPK PANDU,2025-10-18 09:38:14,2025-10-18 09:38:14,0 JAM 0 MENIT 0 DETIK,PT. PELABUHAN INDONESIA (Persero) Cab. Gresik,IDGRE-PLD-SPK.2510.011839,DERMAGA PT. WILMAR NABATI,Data Integrasi,IDGRE-PLD-SPK.2510.011839,2025-10-18 09:38:14
